Category,Rank,Title,Price,Rating,Number of Reviews
Kindle Store,#9,"30 DAYS: Change your habits, Change your life",₹226.12,4.4 out of 5 stars,"2,945"
Kindle Store,#10,How to Become a People Magnet: 62 Life-Changing Tips to Attract Everyone You Meet,₹149.10,4.4 out of 5 stars,Mark Reklau
Kindle Store,#11,The Art of War,₹51.45,4.1 out of 5 stars,"19,128"
Kindle Store,#12,Between the Lines,₹399.00,4.3 out of 5 stars,"5,344"
Kindle Store,#13,Autobiography of a Yogi,₹51.45,4.6 out of 5 stars,"1,635"
Kindle Store,#14,108 Panchatantra Stories,₹90.00,4.1 out of 5 stars,308
Kindle Store,#15,The Housemaid: An absolutely addictive psychological thriller with a jaw-dropping twist,₹331.00,4.4 out of 5 stars,"586,968"
Kindle Store,#16,THINK AND GROW RICH,₹51.45,4.4 out of 5 stars,"3,523"
Kindle Store,#17,Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things (Productivity Series Book 1),₹99.00,4.4 out of 5 stars,"16,895"
Kindle Store,#18,The Wrong Daughter: The absolutely unputdownable psychological thriller with a jaw-dropping twist by Dandy Smith for 2025!,₹302.10,4.0 out of 5 stars,"14,734"
Kindle Store,#19,Silent Flames,₹499.00,4.5 out of 5 stars,"1,123"
Kindle Store,#20,The Cruel Prince (The Folk of the Air),₹296.40,4.5 out of 5 stars,"65,772"
Kindle Store,#21,From the Rat Race to Financial Freedom: A Common Man’s Journey... (3rd Edition),₹353.41,4.4 out of 5 stars,666
Kindle Store,#22,How to Become Rich: 12 Lessons I Learnt from Vedic and Puranic Stories,₹149.47,4.4 out of 5 stars,905
Kindle Store,#23,50 GREATEST DETECTIVE STORIES,₹295.45,3.9 out of 5 stars,189
Kindle Store,#24,Chanakya in Daily Life,₹226.80,4.4 out of 5 stars,"1,770"
Kindle Store,#25,Mindful Zen Habits:,₹149.47,4.4 out of 5 stars,803
Kindle Store,#26,We Are There for Each Other: An Intense Love Story of 4 Friends on a Road Trip of a Lifetime • Romance • Friendship • Fighting for Love • Travel Fiction,₹499.00,4.4 out of 5 stars,313
Kindle Store,#27,நெஞ்சுக்குள்ளே கேட்குதே: Nenjukulle ketkuthey (Tamil Edition),₹499.00,4.5 out of 5 stars,55
Kindle Store,#28,Truth and Tinsel: A Marriage In Crisis Romance,₹449.00,4.3 out of 5 stars,"1,342"
Kindle Store,#29,Seriously Silly Jokes for Kids: Joke Book for Boys and Girls ages 7-12,₹250.00,4.1 out of 5 stars,"1,193"
Kindle Store,#30,The Heart of a Storm (The Il Cuore Heirs Book 1),₹199.00,4.5 out of 5 stars,35
Movies & TV Shows,#1,Red Dead Redemption 2 Europe Region,"₹2,410.00",4.3 out of 5 stars,"11,269"
Movies & TV Shows,#2,Planet of the Apes Trilogy (Uncut) [4K Ultra HD/Blu-ray] (2011-2017) | 3 Movies | 6 Discs (3 4K + 3 BD) | Imported from USA | 20th Century Fox | 375 min | Action Sci-Fi Fantasy,"₹5,990.00",5.0 out of 5 stars,1
Movies & TV Shows,#3,Tomb Raider: Definitive Edition (PS4),"₹1,499.00",4.6 out of 5 stars,SQUARE ENIX
Movies & TV Shows,#4,My Name is Khan,₹145.00,4.4 out of 5 stars,Shah Rukh Khan
Movies & TV Shows,#5,The Matrix: 4-Film Déjà Vu Collection,"₹2,790.00",4.5 out of 5 stars,"Reeves, Keanu"
Movies & TV Shows,#6,Tenet,"₹2,898.00",4.3 out of 5 stars,John David Washington
Movies & TV Shows,#7,Underdog BD,₹399.00,4.5 out of 5 stars,Jason Lee
Movies & TV Shows,#8,2 Movies Collection: Spider-Man: Far From Home + Spider-Man: Homecoming (Blu-ray 3D) (2-Disc),"₹2,199.00",4.6 out of 5 stars,Tom Holland
Movies & TV Shows,#9,The Shawshank Redemption (2-Disc),₹800.00,4.6 out of 5 stars,Tim Robbins
Movies & TV Shows,#10,Bachna Ae Haseeno - Special Edition,₹299.00,4.1 out of 5 stars,Ranbir Kapoor
Movies & TV Shows,#11,Ek Tha Tiger - Special Edition,₹299.00,3.9 out of 5 stars,Salman Khan
Movies & TV Shows,#12,Chakde! India,N/A,4.0 out of 5 stars,Shah Rukh Khan
Movies & TV Shows,#13,Hum Tum,₹599.00,4.3 out of 5 stars,Saif Ali Khan
Movies & TV Shows,#14,War for the Planet of the Apes (2017) (Blu-ray),₹690.00,4.2 out of 5 stars,Woody Harrelson
Movies & TV Shows,#15,Chuck Norris - Code of Silence,₹799.00,4.5 out of 5 stars,Chuck Norris
Movies & TV Shows,#16,Chuck Norris - Missing in Action,₹750.00,4.4 out of 5 stars,Chuck Norris
Movies & TV Shows,#17,Die Hard with a Vengeance,₹999.00,4.8 out of 5 stars,Bruce Willis
